workforce_record_id,service_id,site_id,record_date,staff_group,planned_fte,available_fte,absence_rate,remote_working_rate,session_capacity,vacancy_rate
WRK-00275,SVC-011,SITE-03,2026-02-01,medical,3.6,3.22,0.075,0,28,0.03
WRK-00276,SVC-012,SITE-04,2026-02-01,nursing,4.4,3.87,0.08,0.595,35,0.04
WRK-00277,SVC-001,SITE-01,2026-03-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00278,SVC-002,SITE-02,2026-03-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00279,SVC-003,SITE-03,2026-03-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00280,SVC-004,SITE-04,2026-03-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00281,SVC-005,SITE-01,2026-03-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00282,SVC-006,SITE-02,2026-03-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00283,SVC-007,SITE-03,2026-03-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00284,SVC-008,SITE-04,2026-03-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00285,SVC-009,SITE-01,2026-03-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00286,SVC-010,SITE-02,2026-03-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00287,SVC-011,SITE-03,2026-03-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00288,SVC-012,SITE-04,2026-03-01,nursing,4.4,4,0.05,0.595,35,0.04
